tile_width,tile_height,min_active_pixels,num_images,sparse_ms,dense_masked_ms,dense_unmasked_ms,active_tiles,active_ratio,sparse_vs_dense_masked_mean_abs_diff,sparse_vs_dense_masked_max_abs_diff,dense_masked_vs_unmasked_mean_abs_diff,dense_masked_vs_unmasked_max_abs_diff,sparse_vs_unmasked_mean_abs_diff,sparse_vs_unmasked_max_abs_diff,sparse_top1_acc,sparse_top5_acc,dense_masked_top1_acc,dense_masked_top5_acc,dense_unmasked_top1_acc,dense_unmasked_top5_acc,sparse_vs_dense_masked_pred_agreement,dense_masked_vs_unmasked_pred_agreement,sparse_vs_unmasked_pred_agreement
17,17,2,50000,10.125970758579497,2.9354338158419706,2.029887387370982,88.76664,0.6079906849315069,1.1155298626199748e-05,0.11853750050067902,0.0010146127853428635,0.999259352684021,0.0010146732186025725,0.9992682337760925,43.362,63.764,43.342,63.78,66.82,87.514,99.136,48.346,48.392
17,18,2,50000,9.59648532092222,2.8311189865706545,1.951317496096017,86.60398,0.5931779452054795,1.0875181689150685e-05,0.10802653431892395,0.0010146127853428635,0.999259352684021,0.0010147276879861966,0.9992897510528564,43.332,63.776,43.342,63.78,66.82,87.514,99.18,48.346,48.354
18,14,2,50000,9.67131408559173,3.12791093546286,2.1779714175945264,94.6395,0.591496875,1.0583875670655853e-05,0.11039397120475769,0.0010146127853428635,0.999259352684021,0.0010146483713515096,0.9992643594741821,43.308,63.756,43.342,63.78,66.82,87.514,99.15,48.346,48.348
18,15,2,50000,10.970625093128621,3.1502372188509615,2.1874834192289563,92.79318,0.579957375,1.159927674677919e-05,0.07923668622970581,0.0010146127853428635,0.999259352684021,0.001014722776579712,0.9992643594741821,43.336,63.746,43.342,63.78,66.82,87.514,99.062,48.346,48.348
18,16,2,50000,9.923550169252412,2.967644232638413,2.04736458122381,87.9836,0.6026273972602739,9.510920749283053e-06,0.08790449053049088,0.0010146127853428635,0.999259352684021,0.001014684915209272,0.9992644190788269,43.304,63.734,43.342,63.78,66.82,87.514,99.278,48.346,48.318
18,17,2,50000,10.638681751120602,3.1168780147530195,2.141409170287952,86.27516,0.5909257534246575,1.077260617251937e-05,0.12308193743228912,0.0010146127853428635,0.999259352684021,0.0010146945096609974,0.9992644786834717,43.316,63.77,43.342,63.78,66.82,87.514,99.104,48.346,48.352
18,18,2,50000,9.443983837536361,2.8195350686484018,1.9323424488816818,84.21268,0.5767991780821918,9.185857112965872e-06,0.09848958253860474,0.0010146127853428635,0.999259352684021,0.001014635501204528,0.9992643594741821,43.346,63.772,43.342,63.78,66.82,87.514,99.212,48.346,48.38
14,14,3,50000,7.157095898598636,2.231538343899156,1.4739591949462192,107.2024,0.6091045454545454,2.7542703814252486e-05,0.22645795345306396,0.0010146127853428635,0.999259352684021,0.001014602406915489,0.9992672801017761,43.348,63.792,43.342,63.78,66.82,87.514,97.866,48.346,48.324
14,15,3,50000,7.707393535740412,2.241633570279664,1.4854435597716655,104.9204,0.5961386363636364,2.7987234947797943e-05,0.18022140860557556,0.0010146127853428635,0.999259352684021,0.0010146936274232578,0.9992750287055969,43.306,63.8,43.342,63.78,66.82,87.514,97.682,48.346,48.312
14,16,3,50000,7.206510770624445,2.177726359563967,1.4312867410219041,99.38724,0.6211702499999999,2.5380929521834616e-05,0.1927558183670044,0.0010146127853428635,0.999259352684021,0.0010146132139063734,0.9992689490318298,43.324,63.754,43.342,63.78,66.82,87.514,97.974,48.346,48.268
14,17,3,50000,8.134385664939764,2.4691754310487886,1.6703916901182674,97.34102,0.608381375,2.6338911716324335e-05,0.20212793350219727,0.0010146127853428635,0.999259352684021,0.0010146399118702118,0.9992691278457642,43.344,63.766,43.342,63.78,66.82,87.514,97.91,48.346,48.34
14,18,3,50000,7.086984529748588,2.188233031799318,1.4488252020583605,94.83212,0.59270075,2.5166125300299812e-05,0.20374912023544312,0.0010146127853428635,0.999259352684021,0.0010145404460304092,0.9992544651031494,43.304,63.798,43.342,63.78,66.82,87.514,97.962,48.346,48.33
